customer_id,order_id,order_date,order_unit_price,quantity,discount,product_id,product_name,category_id,category_name,product_unit_price,total_sales,year,month,day
VINET,10248,1996-07-04,14.0,12,0.0,11,Queso Cabrales,4,Dairy Products,21.0,168.0,1996,7,4
VINET,10248,1996-07-04,9.8,10,0.0,42,Singaporean Hokkien Fried Mee,5,Grains/Cereals,14.0,98.0,1996,7,4
VINET,10248,1996-07-04,34.8,5,0.0,72,Mozzarella di Giovanni,4,Dairy Products,34.8,174.0,1996,7,4
TOMSP,10249,1996-07-05,18.6,9,0.0,14,Tofu,7,Produce,23.25,167.4,1996,7,5
TOMSP,10249,1996-07-05,42.4,40,0.0,51,Manjimup Dried Apples,7,Produce,53.0,1696.0,1996,7,5
HANAR,10250,1996-07-08,7.7,10,0.0,41,Jack's New England Clam Chowder,8,Seafood,9.65,77.0,1996,7,8
HANAR,10250,1996-07-08,42.4,35,0.15,51,Manjimup Dried Apples,7,Produce,53.0,1261.3999999999999,1996,7,8
HANAR,10250,1996-07-08,16.8,15,0.15,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,21.05,214.2,1996,7,8
VICTE,10251,1996-07-08,16.8,6,0.05,22,Gustaf's Knäckebröd,5,Grains/Cereals,21.0,95.76,1996,7,8
VICTE,10251,1996-07-08,15.6,15,0.05,57,Ravioli Angelo,5,Grains/Cereals,19.5,222.29999999999998,1996,7,8
VICTE,10251,1996-07-08,16.8,20,0.0,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,21.05,336.0,1996,7,8
SUPRD,10252,1996-07-09,64.8,40,0.05,20,Sir Rodney's Marmalade,3,Confections,81.0,2462.4,1996,7,9
SUPRD,10252,1996-07-09,2.0,25,0.05,33,Geitost,4,Dairy Products,2.5,47.5,1996,7,9
SUPRD,10252,1996-07-09,27.2,40,0.0,60,Camembert Pierrot,4,Dairy Products,34.0,1088.0,1996,7,9
HANAR,10253,1996-07-10,10.0,20,0.0,31,Gorgonzola Telino,4,Dairy Products,12.5,200.0,1996,7,10
HANAR,10253,1996-07-10,14.4,42,0.0,39,Chartreuse verte,1,Beverages,18.0,604.8000000000001,1996,7,10
HANAR,10253,1996-07-10,16.0,40,0.0,49,Maxilaku,3,Confections,20.0,640.0,1996,7,10
CHOPS,10254,1996-07-11,3.6,15,0.15,24,Guaraná Fantástica,1,Beverages,4.5,45.9,1996,7,11
CHOPS,10254,1996-07-11,19.2,21,0.15,55,Pâté chinois,6,Meat/Poultry,24.0,342.71999999999997,1996,7,11
CHOPS,10254,1996-07-11,8.0,21,0.0,74,Longlife Tofu,7,Produce,10.0,168.0,1996,7,11
RICSU,10255,1996-07-12,15.2,20,0.0,2,Chang,1,Beverages,19.0,304.0,1996,7,12
RICSU,10255,1996-07-12,13.9,35,0.0,16,Pavlova,3,Confections,17.45,486.5,1996,7,12
RICSU,10255,1996-07-12,15.2,25,0.0,36,Inlagd Sill,8,Seafood,19.0,380.0,1996,7,12
RICSU,10255,1996-07-12,44.0,30,0.0,59,Raclette Courdavault,4,Dairy Products,55.0,1320.0,1996,7,12
WELLI,10256,1996-07-15,26.2,15,0.0,53,Perth Pasties,6,Meat/Poultry,32.8,393.0,1996,7,15
WELLI,10256,1996-07-15,10.4,12,0.0,77,Original Frankfurter grüne Soße,2,Condiments,13.0,124.80000000000001,1996,7,15
HILAA,10257,1996-07-16,35.1,25,0.0,27,Schoggi Schokolade,3,Confections,43.9,877.5,1996,7,16
HILAA,10257,1996-07-16,14.4,6,0.0,39,Chartreuse verte,1,Beverages,18.0,86.4,1996,7,16
HILAA,10257,1996-07-16,10.4,15,0.0,77,Original Frankfurter grüne Soße,2,Condiments,13.0,156.0,1996,7,16
ERNSH,10258,1996-07-17,15.2,50,0.2,2,Chang,1,Beverages,19.0,608.0,1996,7,17
ERNSH,10258,1996-07-17,17.0,65,0.2,5,Chef Anton's Gumbo Mix,2,Condiments,21.35,884.0,1996,7,17
ERNSH,10258,1996-07-17,25.6,6,0.2,32,Mascarpone Fabioli,4,Dairy Products,32.0,122.88000000000002,1996,7,17
CENTC,10259,1996-07-18,8.0,10,0.0,21,Sir Rodney's Scones,3,Confections,10.0,80.0,1996,7,18
CENTC,10259,1996-07-18,20.8,1,0.0,37,Gravad lax,8,Seafood,26.0,20.8,1996,7,18
OTTIK,10260,1996-07-19,7.7,16,0.25,41,Jack's New England Clam Chowder,8,Seafood,9.65,92.4,1996,7,19
OTTIK,10260,1996-07-19,15.6,50,0.0,57,Ravioli Angelo,5,Grains/Cereals,19.5,780.0,1996,7,19
OTTIK,10260,1996-07-19,39.4,15,0.25,62,Tarte au sucre,3,Confections,49.3,443.25,1996,7,19
